date,dist,rec,who,where
i,f,f,s,s
20070930,42195,2.0738889,heile,berlin
20080928,42195,2.0663889,heile,berlin
20110925,42195,2.0605556,patrick,berlin
20130929,42195,2.0563889,wilson,berlin
20140928,42195,2.0491667,dennis,berlin
20180916,42195,2.0275000,eliud,berlin
20220925,42195,2.0191667,eliud,berlin
20070207,21097,0.9813889,samuel,khaimah
20070317,21097,0.9758333,samuel,lahague
20100321,21097,0.9730556,zersenay,lisbon
20181028,21097,0.9716667,abraham,valencia
20191115,21097,0.9669444,geoffrey,copenhagen
20201206,21097,0.9588889,kibiwott,valencia
20211121,21097,0.9586111,jacob,lisbon
20050826,10000,0.4380556,kenenisa,brussels
20201007,10000,0.4363889,joshua,valencia
20040531,5000,0.2102778,kenenisa,hengelo
20200814,5000,0.2097222,joshua,monaco
19960901,3000,0.1222222,daniel,rieti
19990707,1609,0.0619444,hicham,rome
19980714,1500,0.0572222,hicham,rome
19990714,1000,0.0363889,noah,rieti
19970824,800,0.0280861,wilson,cologne
20100822,800,0.0280806,david,berlin
20100829,800,0.0280583,david,rieti
20120809,800,0.0280306,david,london
19990826,400,0.0119944,michael,seville
20160814,400,0.0119528,wayde,rio
19960801,200,0.0053667,michael,atlanta
20080820,200,0.0053611,usain,bejing
20080920,200,0.0053306,usain,berlin
20070909,100,0.0027056,asafa,rieti
20080531,100,0.0027000,usain,newyork
20080816,100,0.0026917,usain,bejing
20090816,100,0.0026611,usain,berlin
